Epoch,Train Loss,Train cls Loss,Train bbox Loss,Val Loss,Val cls Loss,Val bbox Loss
1,5.157606234033424,2.6318791185516908,2.5257271377437087,5.269150231565748,2.4753812423774173,2.7937690083469664
2,4.550235874681587,2.387576254017382,2.162659591939076,4.613930003983634,2.3433863392898013,2.2705436710800444
3,3.9747971411210945,2.290003122335457,1.6847940223762787,4.208650129181998,2.2408536097833087,1.967796541750431
4,3.4064414644815835,2.1400500959660635,1.2663913584617248,3.76362920658929,2.13029117669378,1.6333380341529846
5,3.103218568376748,1.999343293977071,1.1038752729634205,3.6383151837757657,2.0780602672270367,1.5602549037763052
6,2.7732279975730254,1.8452312924775733,0.9279966995299581,3.3035339755671367,1.9433778056076594,1.3601561577192374
7,2.4852374095514596,1.6796304238847939,0.8056069880903486,3.3546957288469588,1.9463590766702379,1.4083366351468223
8,2.32425004531102,1.5966927552797707,0.727557289133589,3.1463722863367627,1.868868465934481,1.2775038496724196
9,2.236271375633148,1.5279980265950581,0.7082733377275696,3.085251884801047,1.798584418637412,1.2866674797343356
10,1.939680146165641,1.3775762883295495,0.5621038505650429,3.031309583357402,1.8488286627190453,1.1824808908360345
11,1.9363325898905834,1.359371548675629,0.576961037085717,3.183094316295215,1.903160497546196,1.2799338269978762
12,1.7689012709152268,1.2639768953064838,0.5049243738583054,2.9492236333233968,1.7664087627615248,1.1828148918492454
13,1.7091196402009712,1.2201167578438679,0.489002884421722,2.961844503879547,1.7904162066323417,1.1714283089552606
14,1.6449285214205822,1.1697328643626477,0.4751956575067647,3.2971357873507907,1.9803750663995743,1.3167607286678893
15,1.5857435446905803,1.1277083919708988,0.4580351527645645,3.07699544940676,1.8988357803651266,1.1781596610588687
16,1.5329274991190578,1.0996752894786468,0.4332522041646831,2.9703684960092818,1.8117912198816026,1.158577293955854
17,1.439607304980956,1.0234136060777916,0.4161936971976096,3.00304667864527,1.8494238150971276,1.1536228622176818
18,1.3937842415039798,1.0078975170491689,0.3858867209539356,3.1222256187881743,1.9157130239265305,1.2065125650593214
