Epoch,Train Loss,Train cls Loss,Train bbox Loss,Val Loss,Val cls Loss,Val bbox Loss
1,5.257273197174072,3.061442772547404,2.195830543835958,5.497474908828735,3.030533194541931,2.466941773891449
2,5.125902811686198,2.9174675146738687,2.208435297012329,5.132978439331055,2.834477424621582,2.298500895500183
3,4.557143847147624,2.6066487630208335,1.9504950443903606,4.97814154624939,2.6642887592315674,2.3138526678085327
4,4.380421002705892,2.4816531340281167,1.8987678289413452,5.326728105545044,2.7209250926971436,2.60580313205719
5,4.269449075063069,2.479696035385132,1.7897531191507976,5.490694761276245,2.7528966665267944,2.737797975540161
6,4.0203940868377686,2.3427904844284058,1.6776036818822224,4.897213935852051,2.5768598318099976,2.3203543424606323
7,4.1343739827473955,2.299476067225138,1.8348979155222576,4.476272106170654,2.3394346237182617,2.136837363243103
8,3.6024868488311768,2.0674643516540527,1.535022497177124,4.121245861053467,2.2175451517105103,1.9037007093429565
9,4.040549278259277,2.2917211850484214,1.7488280932108562,4.660204887390137,2.498873233795166,2.1613314747810364
10,3.2548731168111167,1.9088189204533894,1.3460541168848674,4.823036193847656,2.537758231163025,2.285278081893921
11,4.401108264923096,2.3472489515940347,2.053859313329061,4.906724691390991,2.477540612220764,2.429184079170227
12,4.465322812398274,2.326321562131246,2.1390010913213096,4.933701992034912,2.5359798669815063,2.3977221250534058
13,3.6457250912984214,2.042616883913676,1.603108247121175,4.967294216156006,2.5674554109573364,2.3998388051986694
14,3.9230348269144693,2.1420249541600547,1.7810099919637044,4.548860311508179,2.3948899507522583,2.15397047996521
15,4.470301628112793,2.315222183863322,2.1550796031951904,4.968334197998047,2.517198920249939,2.451135516166687
16,3.1952761809031167,1.8295948108037312,1.3656814098358154,4.941718578338623,2.548059344291687,2.393659472465515
17,4.228155533472697,2.2297475337982178,1.9984079202016194,4.834878444671631,2.403739333152771,2.4311388731002808
18,3.630342642466227,2.0428720315297446,1.5874706904093425,4.7627575397491455,2.4212981462478638,2.341459274291992
19,3.1316281954447427,1.7672736247380574,1.3643544912338257,5.050984144210815,2.4793137311935425,2.5716702938079834
20,3.716477870941162,2.011441151301066,1.705036719640096,4.740464448928833,2.3958187103271484,2.344645917415619
